Mean Average Precision at 10: 0.4672990467792055
Mean Average Precision at 20: 0.439910224386181
Mean NDCG at 10: 0.5027668642160645
Mean NDCG at 20: 0.5738180360305455
Query     AP@10     AP@20     NDCG@10   NDCG@20   
224       0.1       0.1       0.301     0.301     
225       0.1111    0.1111    0.3155    0.3155    
226       0.4861    0.4861    0.6578    0.6578    
227       0.6667    0.6667    0.7547    0.7547    
230       0.75      0.5909    0.6052    0.6752    
231       0.8734    0.7329    0.7205    0.8645    
232       0.5772    0.5517    0.5269    0.7137    
233       0.6528    0.5991    0.409     0.508     
234       0.325     0.325     0.4604    0.4604    
241       0.5       0.5       1.0       1.0       
245       1.0       1.0       1.0       1.0       
246       0.425     0.3957    0.571     0.611     
247       0.3667    0.3667    0.5308    0.5308    
250       0.4667    0.4022    0.43      0.5683    
251       0.5       0.5       0.75      0.75      
252       0         0.0625    0.0       0.25      
253       0.5       0.5       0.7       0.7       
254       0.1111    0.1111    0.3155    0.3155    
255       0.45      0.3833    0.5438    0.6498    
257       0.8042    0.7267    0.6341    0.7199    
259       0.5889    0.5889    0.7023    0.7023    
261       0.7708    0.7708    0.6385    0.6385    
264       0.5833    0.5833    0.8155    0.8155    
265       0.2667    0.2667    0.466     0.466     
266       0         0.0909    0.0       0.2891    
267       0         0.1288    0.0       0.287     
268       0.7167    0.7167    0.6812    0.6812    
269       0.7       0.45      0.2205    0.4081    
272       0.5       0.3833    0.5701    0.6581    
273       0.6389    0.4997    0.534     0.7247    
274       0.7       0.7       0.7723    0.7723    
275       0.5833    0.5833    0.7232    0.7232    
277       0.8179    0.7031    0.4769    0.6705    
283       0.6667    0.5833    0.5447    0.652     
284       0.6829    0.627     0.5565    0.7121    
285       0.4155    0.4093    0.4917    0.5675    
288       0.25      0.2436    0.3186    0.4098    
291       0.8254    0.7503    0.8548    0.911     
292       0.1667    0.1657    0.147     0.3427    
293       0.6944    0.6944    0.7033    0.7033    
294       0.7679    0.5816    0.5113    0.7318    
295       0.8056    0.8056    0.81      0.81      
296       0.9617    0.8971    0.8941    0.9363    
297       0         0.0973    0.0       0.2549    
298       0         0.0556    0.0       0.2398    
299       0.5317    0.4897    0.5371    0.6619    
300       0.75      0.5769    0.5508    0.6625    
301       0.3407    0.3407    0.5667    0.5667    
303       0.2       0.1769    0.2153    0.3505    
304       0.3333    0.2167    0.3155    0.4312    
306       0.7071    0.6183    0.6782    0.7506    
314       0.5139    0.5139    0.7763    0.7763    
315       0.25      0.2205    0.1597    0.415     
316       0.1429    0.1429    0.3562    0.3562    
317       0.4167    0.4167    0.6934    0.6934    
321       0.225     0.225     0.382     0.382     
323       0.3333    0.3333    0.6309    0.6309    
327       0.6569    0.6569    0.7453    0.7453    
331       0.1       0.1346    0.1354    0.3046    
332       0.8333    0.8333    0.8524    0.8524    
333       0.1429    0.1623    0.2375    0.3338    
335       0.8819    0.8185    0.7909    0.8439    
336       0.6226    0.5865    0.4538    0.6527    
338       0.3333    0.3333    0.6309    0.6309    
339       0         0.0714    0.0       0.2626    
340       0         0         0         0         
347       0.6215    0.5306    0.44      0.5777    
348       0.2917    0.2485    0.2652    0.4409    
349       0         0         0         0         
352       0.45      0.3458    0.4145    0.578     
353       0.5889    0.5083    0.5951    0.6936    
355       0.8259    0.7615    0.7311    0.844     
356       0.8333    0.627     0.6199    0.7197    
360       0.1429    0.1214    0.1781    0.2938    
365       0.5833    0.4514    0.6626    0.747     
